r_id,r_comment,r_star,u_id
1,Inside research size life majority nice near. Truth represent tend son him bit lead.,1,57
2,"Executive father walk a. Pay direction campaign. Field claim change field.
Hundred only war probably after population.",2,256
3,Want protect boy. Space word left about bring price begin. About among television exactly leader run federal.,2,239
4,"Thousand should arm prepare. Weight clear southern medical. Popular everybody involve not.
Glass kind country blue community fund.",3,268
5,Church approach total car become management goal. Much discover people.,5,320
6,Affect bring might dinner interest by authority. Them either reach business strategy drug. Huge security series put nation.,2,341
7,Down small beautiful appear relationship ten personal. Thank price technology.,4,156
8,Defense relate technology organization treat. Open charge everybody bill military whose. Outside usually what training sometimes inside.,1,148
9,Medical close other former forget benefit seven religious. Heavy rise third.,3,410
10,Senior surface rather sea. Stock cost reality save.,4,8
11,"Include prevent beyond provide none lose.
Guy economy public key. Decision perform try son face lawyer program. Tree recently building car.",2,21
12,Song special choice your star dark. But cost possible.,5,145
13,Citizen only almost standard carry our. Interest this lose among. Center discover leader week successful.,1,64
14,"Activity team night. Any ago center before cost end.
Whom successful value get media song it. Close technology what effect amount cause word.",3,251
15,Couple decision bank year. Worry individual treatment prepare wall religious sister. Case manager wife.,4,3
16,My pick make score expect think. Usually dinner produce they head.,1,181
17,Toward mouth trade manager positive behavior. Opportunity respond what red whole. Either whole herself field side.,3,26
18,Bank score set. Improve color election difficult music. Reduce themselves left head interesting.,3,71
19,"None anyone purpose there itself base.
Boy campaign ok social. War individual here million follow score bag.",3,450
20,Position charge director small according song history. Tree bank indicate old fish. Us beautiful join subject necessary opportunity.,5,403
21,Rate design wife stage. Prevent high including player idea. Good either all us force stock.,5,341
22,Provide suddenly total person. Me song sign threat fight what author. Model will fear as exactly both.,1,80
23,"Sound culture would under decision voice above. This maybe explain religious goal.
But stop whatever. Notice strong chair poor town.",3,366
24,Party memory either management until throughout record pattern. Special that sport matter.,2,74
25,Heart state job current cost. Including significant man author. Shoulder wide must even.,5,222
26,Worry current health sure six fact spend. Company property until go final. Choose answer international impact child difficult.,1,471
27,Suffer any almost sort together speech. Large side thing dream. She send would with.,2,149
28,Sport class skin state analysis. Although bill service lot door often. Black science ready result.,4,17
29,Plant financial benefit. Support kind pattern order TV say scene learn.,3,478
30,Able through reflect provide. Data serve quality land public nation teacher. Body young hit or radio.,4,128
31,Theory live argue quickly. Art magazine its body. My range laugh likely.,4,217
32,Beat parent a student year policy science. Order will represent reason.,1,496
33,Professor land space while score eye west apply. Important tell assume view boy dog modern particularly. Religious owner who material hospital.,3,458
34,Data garden individual avoid create. Mother cell marriage. Hear director why and seat this lawyer.,3,472
35,"Hair business require country treat. Plan cold top nor themselves street.
Sister today capital window yourself under. Answer different drop still.",3,306
36,Under rate pressure field meet dark. I large my eat development stand. Inside bill plan really mother never. Theory story customer course response.,5,89
37,"Middle service why. Rock item wait challenge.
Possible girl art environmental chance. System response heavy cell southern recent.",3,224
38,Economic size song total. Tax another movement dog dinner blue sit prove. Young increase without need onto drive.,5,412
39,Represent let rich front speak defense successful. Building over move example above. Threat ball ball close agree answer road.,2,72
40,Continue more clear computer great. Girl Congress those true can only matter. Friend card prepare early most. Same five region your write no inside.,2,129
41,"Oil industry another case.
Identify receive value. Go large until behind. Recent everybody road certain.",5,214
