t_id,u_id,t_type,i_id,t_date,t_amount
1,244,Purchase,182,2025-03-15T16:21:46.506889,15085
2,247,Sale,96,2025-04-12T14:05:18.277298,32364
3,1,Rental,848,2025-04-17T08:25:39.923325,77245
4,190,Purchase,431,2025-04-04T08:29:45.602683,54785
5,118,Rental,440,2025-03-19T13:08:19.078311,38850
6,196,Refund,788,2024-08-19T14:52:51.966859,20058
7,69,Refund,436,2024-09-10T09:51:04.443044,11048
8,120,Purchase,785,2025-04-06T06:27:04.754374,35349
9,449,Rental,613,2025-03-08T06:25:36.678470,6312
10,3,Purchase,194,2025-04-15T18:18:10.746255,87260
11,61,Purchase,536,2024-10-21T09:50:52.035625,41139
12,106,Refund,671,2025-01-10T13:15:54.828217,51636
13,55,Sale,371,2025-04-18T23:47:07.028550,128863
14,300,Refund,668,2024-10-29T20:45:28.809631,8163
15,275,Rental,876,2024-07-19T16:27:13.522698,85074
16,142,Rental,627,2025-04-06T03:57:33.498046,5370
17,283,Rental,424,2025-02-21T06:00:22.109149,50238
18,287,Rental,380,2025-01-23T20:10:25.567727,54165
19,296,Refund,315,2024-12-10T03:37:36.894291,2392
20,71,Purchase,754,2024-12-28T06:48:14.381632,20580
21,401,Sale,458,2024-10-28T07:58:17.507530,16102
22,261,Rental,220,2024-05-23T23:32:56.672520,100962
23,282,Purchase,821,2025-03-11T11:35:39.392246,30918
24,494,Purchase,399,2025-03-04T22:39:28.222115,5085
25,75,Rental,844,2024-05-28T08:23:09.052785,16797
26,33,Refund,91,2025-03-22T08:57:12.112137,17033
27,41,Purchase,380,2024-08-12T02:23:06.613346,72220
28,206,Refund,954,2024-11-26T04:22:26.230137,34680
29,485,Sale,59,2025-03-29T20:43:42.879288,43833
30,225,Purchase,507,2025-04-07T07:21:35.036415,22108
31,337,Refund,871,2025-01-30T04:14:34.673774,14164
32,402,Sale,35,2024-07-20T17:43:48.412163,53690
33,346,Purchase,174,2025-04-06T19:48:26.871038,18114
34,336,Purchase,245,2024-07-26T22:59:27.384218,4119
35,142,Rental,89,2024-10-01T22:10:16.807440,33856
36,203,Rental,686,2024-12-04T00:12:27.394971,3125
37,266,Purchase,206,2024-09-04T14:26:43.384492,9172
38,47,Refund,942,2025-01-09T09:55:43.329998,117144
39,494,Refund,356,2024-12-16T17:56:53.794457,33796
40,494,Sale,621,2024-12-30T17:43:29.222440,30060
41,207,Purchase,953,2025-04-16T17:14:15.634187,9558
42,209,Purchase,180,2025-02-24T12:00:46.943398,16595
43,151,Refund,516,2025-03-16T13:26:01.996350,9299
44,263,Refund,823,2024-12-06T12:08:20.628028,12612
45,407,Refund,833,2024-10-05T13:16:42.118300,21720
46,495,Rental,454,2025-03-03T16:49:28.704929,32638
47,125,Refund,789,2024-07-22T13:21:54.239542,70696
48,236,Purchase,698,2025-01-15T18:29:58.611813,63640
49,133,Purchase,120,2025-01-03T00:53:55.978488,64988
50,404,Sale,649,2024-12-01T05:21:13.797704,3132
51,118,Refund,719,2024-09-04T00:28:19.090032,13663
52,181,Purchase,979,2025-03-27T10:41:08.434207,17778
53,148,Purchase,255,2024-12-19T01:11:39.449979,113225
54,384,Refund,690,2024-12-15T09:40:02.041907,27048
55,477,Sale,568,2025-03-18T09:39:30.315701,17990
56,182,Sale,322,2024-08-22T03:04:57.768683,54513
57,94,Sale,276,2024-11-11T05:40:01.734107,39648
58,103,Sale,755,2024-10-31T04:25:28.795687,8374
59,136,Sale,894,2025-03-28T02:16:36.884977,4762
60,428,Sale,208,2024-12-23T07:16:15.871770,49955
61,80,Purchase,365,2025-03-27T08:00:11.051430,14183
62,41,Rental,943,2025-03-01T23:11:15.182521,4701
63,439,Purchase,783,2025-02-01T04:12:57.100979,71600
64,318,Refund,381,2025-02-12T05:56:32.914819,29218
65,452,Refund,920,2025-04-04T12:40:18.913156,22464
66,392,Refund,188,2025-03-25T13:29:22.301403,77008
67,385,Sale,228,2025-03-13T01:31:40.631369,13626
68,410,Rental,539,2024-07-08T09:16:09.291083,10174
69,277,Purchase,963,2025-03-05T12:33:26.698776,74943
70,202,Sale,356,2024-12-20T02:02:47.938063,67592
71,62,Rental,1000,2024-09-03T02:38:45.914243,32400
72,5,Purchase,706,2025-02-19T04:24:30.737849,18402
73,195,Purchase,216,2025-01-01T21:01:17.822569,45696
74,314,Refund,371,2025-04-17T01:10:13.448457,55227
75,135,Sale,562,2024-09-24T23:19:05.472410,8319
76,491,Refund,483,2025-02-28T11:53:47.823320,91668
77,256,Rental,189,2025-01-21T16:28:50.997525,19008
78,359,Refund,430,2025-04-05T19:15:57.642098,48588
79,206,Refund,875,2024-10-20T09:57:23.557060,129920
80,293,Sale,185,2024-08-17T16:33:06.125519,31020
81,118,Purchase,703,2025-03-26T09:17:12.499935,96130
82,121,Rental,824,2025-04-17T19:56:02.470071,4842
83,75,Sale,201,2025-02-13T23:52:13.903649,83376
84,5,Sale,826,2025-03-13T13:14:57.477984,29714
85,69,Refund,512,2025-01-18T16:35:26.429345,89792
86,129,Purchase,308,2025-02-15T18:32:49.222058,134862
87,354,Sale,102,2025-03-13T06:24:19.102102,11263
88,417,Refund,221,2025-04-17T13:30:31.834794,84880
89,323,Purchase,860,2025-03-26T01:08:08.366422,158480
90,172,Refund,763,2024-10-09T04:58:23.777000,31852
91,287,Refund,369,2025-02-12T04:03:09.146435,99450
92,211,Purchase,21,2025-03-28T06:39:57.582117,77886
93,348,Sale,889,2025-02-14T03:37:21.696041,125500
94,333,Sale,590,2024-06-27T11:12:33.462924,17064
95,167,Rental,364,2025-03-15T12:03:35.547837,149040
96,41,Rental,911,2024-12-18T16:20:45.992270,16451
97,324,Sale,475,2025-04-03T04:58:59.515874,30738
98,414,Refund,656,2024-05-20T20:45:18.010893,103705
99,314,Rental,647,2025-02-11T09:23:03.981492,3457
100,83,Refund,82,2024-08-26T17:36:07.445056,48128
101,163,Refund,322,2025-01-24T12:27:15.365984,54513
102,310,Rental,274,2024-09-29T18:15:29.385925,3345
103,228,Refund,909,2024-09-26T22:49:23.018720,91010
104,495,Rental,534,2025-04-03T23:54:26.109162,9724
105,95,Purchase,172,2025-04-02T21:50:01.880991,19087
106,121,Refund,746,2025-04-13T12:31:16.962532,57138
107,384,Purchase,718,2025-04-06T08:20:44.784085,20852
108,204,Purchase,171,2025-02-11T02:59:41.174210,8233
109,480,Rental,66,2024-07-29T11:13:37.893128,5915
110,14,Rental,56,2024-08-06T15:19:23.309585,2295
111,135,Sale,107,2024-11-12T21:18:29.518404,5007
112,477,Rental,671,2024-11-18T23:14:58.522449,38727
113,127,Refund,235,2025-02-01T12:29:35.624129,109216
114,65,Sale,642,2024-08-26T20:39:58.709600,18576
115,88,Purchase,859,2025-02-05T04:39:08.403659,19794
116,183,Refund,680,2025-03-19T08:06:06.453336,29454
117,500,Refund,479,2025-04-04T13:31:59.129289,45153
118,70,Sale,456,2025-02-10T03:27:08.598125,59570
119,234,Rental,612,2024-11-24T01:37:08.643065,43165
120,328,Refund,656,2025-02-18T17:24:29.266031,88890
121,277,Sale,494,2024-11-18T21:57:01.687294,29924
122,158,Refund,453,2025-01-06T12:33:26.598549,33798
123,80,Refund,267,2024-12-06T19:46:28.774387,8903
124,268,Sale,1,2024-12-17T00:18:53.993269,44700
125,241,Purchase,294,2025-04-11T17:33:32.396105,65736
126,387,Rental,970,2025-03-20T09:37:09.922811,79450
127,393,Rental,10,2024-12-02T06:02:16.271944,9195
128,119,Purchase,612,2024-11-02T19:02:31.505919,43165
129,97,Rental,383,2024-12-21T16:56:40.571187,88750
130,203,Sale,448,2025-02-13T16:53:18.896648,27188
131,378,Rental,733,2024-11-14T06:59:13.836220,28096
132,135,Purchase,226,2024-10-19T19:28:40.568400,16088
133,123,Refund,641,2024-11-03T10:09:44.843011,38445
134,381,Refund,665,2024-09-20T07:41:08.274520,33192
135,437,Purchase,193,2025-03-15T13:40:54.311075,8790
136,149,Purchase,140,2025-01-18T05:55:30.973073,48244
137,232,Refund,633,2025-01-15T08:02:43.875226,98136
138,165,Purchase,193,2025-03-18T08:34:25.160728,8790
139,497,Purchase,51,2024-12-22T18:45:14.144490,43182
140,53,Refund,996,2025-02-14T03:44:40.352467,58640
141,367,Rental,129,2025-04-17T21:11:33.122220,9900
142,47,Sale,239,2025-04-12T17:07:11.401640,10937
143,112,Refund,506,2025-04-06T21:44:28.635778,19392
144,403,Rental,320,2024-06-10T11:49:51.773182,42822
145,357,Purchase,475,2025-03-27T00:35:38.188447,61476
146,432,Sale,83,2024-12-21T23:11:08.309011,15630
147,398,Rental,273,2025-02-23T00:50:44.673520,15979
148,241,Sale,557,2024-11-28T14:26:47.451634,72468
149,431,Refund,918,2025-03-01T16:32:14.587664,11369
150,7,Purchase,849,2025-03-31T18:07:20.215147,31216
151,395,Rental,395,2024-12-14T13:08:07.719405,29152
152,18,Sale,756,2024-11-04T21:40:46.161221,21944
153,395,Purchase,753,2025-02-20T18:23:04.264832,55770
154,107,Rental,682,2025-02-18T22:36:33.908936,130599
155,493,Refund,698,2025-04-12T12:30:24.162524,47730
156,323,Purchase,163,2024-09-21T04:19:10.957318,50935
157,63,Refund,534,2025-02-10T07:36:49.639444,9724
158,153,Sale,654,2025-04-18T10:05:55.835503,80772
159,27,Sale,909,2024-07-28T19:10:15.887104,18202
160,325,Rental,242,2025-03-16T23:19:33.291578,56835
161,86,Refund,16,2025-04-10T07:23:57.409141,1520
162,405,Sale,406,2025-04-18T01:54:45.467284,3308
163,22,Rental,993,2024-12-06T04:44:00.044517,139600
164,191,Purchase,159,2024-12-12T15:00:54.856749,33604
165,256,Purchase,162,2025-04-19T03:32:42.202654,7722
166,497,Purchase,954,2025-02-08T00:01:31.526270,6936
167,331,Sale,365,2025-01-27T16:38:53.472263,70915
168,55,Sale,811,2024-11-26T09:50:57.554509,33380
169,163,Refund,239,2025-03-10T12:23:15.663292,21874
170,99,Purchase,751,2025-02-23T16:31:25.691450,39048
171,371,Sale,367,2025-04-06T10:38:21.346689,42760
172,21,Rental,921,2025-03-28T16:01:43.045455,83142
173,287,Refund,449,2025-03-04T09:21:33.103276,1690
174,291,Sale,195,2025-02-14T12:37:43.777877,59280
175,166,Rental,357,2025-04-14T03:24:23.482598,40488
176,426,Sale,889,2025-03-26T19:29:39.786203,25100
177,80,Rental,544,2025-04-06T07:21:01.079882,36160
178,135,Refund,840,2025-03-17T07:16:30.398937,62376
179,398,Rental,1,2025-03-30T11:36:27.219171,22350
180,10,Refund,905,2024-10-24T15:33:20.541336,64240
181,370,Purchase,329,2024-12-02T13:22:07.440614,4197
182,269,Rental,195,2025-02-24T03:45:11.764714,59280
183,314,Refund,158,2025-04-01T07:07:32.880992,39507
184,329,Refund,420,2024-06-04T06:53:23.249739,10367
185,268,Purchase,99,2025-04-17T01:30:49.166125,5134
186,481,Sale,856,2024-06-15T16:36:20.081933,13838
187,17,Sale,895,2024-12-26T22:48:21.834498,684
188,99,Purchase,498,2024-09-06T16:28:30.751175,19765
189,329,Rental,585,2025-03-09T07:55:24.913951,64080
190,270,Refund,502,2024-06-28T09:45:41.650346,18154
191,114,Purchase,376,2025-02-23T17:33:35.372891,12729
192,472,Sale,953,2025-04-17T08:07:17.642722,12744
193,456,Purchase,951,2024-12-21T23:38:28.279537,60372
194,328,Purchase,821,2025-03-10T18:02:12.800410,46377
195,381,Rental,572,2025-03-27T00:37:46.029224,100542
196,363,Purchase,814,2024-11-22T06:05:53.901689,15713
197,21,Purchase,542,2025-04-16T18:49:06.021229,9780
198,484,Sale,80,2024-10-17T21:35:37.408568,5474
199,372,Sale,104,2025-04-14T11:46:46.346217,129366
200,98,Sale,395,2025-02-10T23:36:44.893421,65592
201,128,Sale,673,2025-02-01T11:16:25.278603,23673
202,286,Rental,768,2024-10-27T10:35:58.868773,8718
203,327,Refund,785,2025-04-07T09:19:12.150984,47132
204,341,Rental,720,2025-01-26T02:41:08.826788,8284
205,406,Sale,171,2025-04-13T10:22:56.644140,41165
206,259,Refund,412,2024-07-23T03:24:53.599842,39840
207,274,Rental,162,2025-04-13T07:55:01.003339,7722
208,162,Refund,925,2025-03-30T13:21:40.567703,8634
209,392,Rental,423,2024-07-01T07:36:17.227844,36999
210,124,Sale,624,2024-06-26T22:34:49.796878,94101
211,282,Refund,785,2025-03-27T00:20:10.047600,35349
212,232,Rental,985,2024-06-19T23:17:10.489055,13964
213,372,Purchase,1,2025-03-19T05:24:18.516801,37250
214,9,Sale,611,2025-02-27T10:32:47.115958,22482
215,154,Sale,7,2024-10-14T20:46:29.374426,6217
216,162,Purchase,877,2025-01-07T06:28:00.063925,4590
217,284,Sale,942,2024-10-23T19:52:06.360834,39048
218,236,Refund,39,2025-03-22T13:26:17.304160,38624
219,136,Refund,142,2025-04-16T03:21:29.261791,10868
220,132,Refund,239,2025-03-11T23:34:53.415380,10937
221,205,Sale,585,2025-03-24T05:20:07.944780,64080
222,371,Refund,80,2025-03-20T23:07:07.641525,21896
223,250,Purchase,178,2024-07-04T20:20:22.763422,37808
224,375,Rental,39,2024-05-24T12:32:10.747090,19312
225,29,Refund,799,2024-11-24T03:44:17.609411,25920
226,419,Rental,901,2025-04-01T08:45:44.644603,22888
227,445,Purchase,953,2025-04-18T22:06:06.855499,6372
228,335,Purchase,766,2025-03-23T02:51:36.865949,63372
229,324,Rental,797,2025-03-28T17:57:17.807395,2071
230,269,Purchase,313,2025-03-21T10:52:05.493912,18978
231,290,Sale,553,2025-03-24T09:55:15.960631,7569
232,358,Sale,515,2024-10-17T11:12:27.197679,15274
233,345,Rental,52,2025-03-10T03:37:48.189256,56284
234,305,Purchase,771,2024-09-24T20:12:48.822063,52024
235,149,Rental,443,2025-02-09T08:09:28.504289,42618
236,173,Purchase,136,2025-02-17T07:02:11.317855,30956
237,382,Purchase,586,2025-03-14T00:35:57.341261,15466
238,44,Rental,269,2025-04-05T04:49:11.980358,28200
239,397,Sale,445,2025-01-12T19:05:36.421553,8166
240,287,Sale,493,2025-02-20T19:10:27.174311,73184
241,334,Sale,405,2025-04-01T18:34:59.768675,59274
242,377,Sale,631,2025-03-29T23:41:58.126441,28140
243,137,Rental,74,2025-04-16T13:08:05.569998,16017
244,474,Purchase,702,2025-04-16T20:52:47.789622,3274
245,212,Rental,688,2025-04-10T06:56:32.244528,14562
246,98,Refund,357,2025-04-14T10:28:11.440953,40488
247,336,Purchase,609,2025-04-14T12:48:01.213643,18366
248,180,Rental,174,2025-03-06T03:26:58.572708,30190
249,226,Purchase,150,2025-04-14T22:30:18.651167,16180
250,351,Refund,205,2024-12-30T21:01:49.493620,3161
251,373,Purchase,776,2025-04-15T07:47:51.555656,6294
252,28,Sale,758,2025-04-14T04:10:36.914731,68785
253,76,Refund,949,2025-03-29T04:01:57.816715,7758
254,356,Purchase,352,2025-03-12T20:33:19.826072,3590
255,242,Purchase,461,2025-03-11T11:43:54.595388,8166
256,379,Sale,215,2024-08-16T10:08:34.543005,33684
257,268,Refund,560,2025-02-01T23:36:50.448951,119727
258,319,Sale,495,2024-11-28T11:08:17.743395,3855
259,299,Purchase,386,2025-02-13T03:16:26.166931,23700
260,31,Refund,175,2025-01-10T16:13:24.517010,25048
261,357,Refund,809,2024-10-24T14:53:03.720891,16250
262,336,Purchase,477,2025-04-19T16:15:35.471670,10506
263,339,Refund,398,2025-03-15T15:12:10.544349,109278
264,468,Refund,873,2024-09-19T06:34:51.880542,12652
265,150,Rental,20,2025-01-06T18:32:40.914175,78724
266,261,Purchase,390,2025-04-09T00:55:14.360285,44154
267,444,Purchase,497,2024-10-26T19:00:15.940899,14887
268,257,Rental,204,2025-01-29T18:06:52.991637,104067
269,365,Purchase,949,2025-03-16T15:58:46.756566,7758
270,473,Refund,254,2024-06-25T20:11:18.931566,52488
271,202,Sale,502,2025-01-29T15:40:36.682662,18154
272,351,Refund,356,2024-08-30T00:20:58.714180,50694
273,155,Sale,641,2024-08-09T08:04:05.301519,69201
274,416,Purchase,283,2025-02-20T02:17:50.641220,49120
275,199,Purchase,900,2024-09-30T20:38:45.288615,58725
276,144,Sale,972,2024-10-04T12:17:29.604194,18922
277,460,Rental,350,2024-10-01T07:44:12.253083,91428
278,45,Rental,141,2025-03-31T06:45:45.438799,6637
279,124,Sale,428,2025-04-12T07:47:55.161354,102270
280,160,Refund,994,2024-12-17T21:43:01.513284,51672
281,68,Sale,556,2024-12-15T02:56:30.580613,13681
282,278,Sale,595,2024-12-04T01:23:46.533544,2462
283,353,Sale,317,2025-04-19T04:57:49.334131,18123
284,500,Sale,931,2025-03-07T19:11:53.879365,61596
285,290,Sale,956,2025-04-10T19:49:59.839671,9132
286,286,Purchase,70,2025-03-08T21:17:09.972020,21334
287,430,Sale,326,2025-04-17T17:19:52.419787,110040
288,392,Refund,31,2025-03-21T10:26:08.887763,25420
289,211,Refund,985,2025-01-20T13:57:45.148508,13964
290,479,Refund,764,2025-03-29T10:44:56.706038,18818
291,97,Purchase,798,2024-09-16T04:55:59.513648,2080
292,14,Refund,190,2025-04-18T17:06:14.179978,53170
293,314,Sale,581,2025-04-15T00:32:46.043638,9388
294,352,Purchase,237,2024-09-08T01:20:23.865136,96138
295,353,Rental,82,2025-02-07T06:15:32.530576,36096
296,434,Rental,515,2024-12-13T01:04:09.042363,45822
297,192,Sale,666,2025-04-16T13:32:40.486922,13628
298,243,Sale,504,2024-10-22T11:08:57.321412,17356
299,116,Purchase,198,2025-04-14T18:31:01.356716,44288
300,497,Purchase,783,2024-08-10T10:27:00.549242,53700
