c_id,c_name,c_description
1,Electronics,Electronic devices and accessories
2,Outdoor Equipment,Camping and hiking gear
3,Tools,Power and hand tools
4,Sports Equipment,Sports and fitness gear
5,Musical Instruments,Instruments and audio equipment
6,Photography,Cameras and accessories
7,Party Supplies,Party decorations and equipment
8,Books,Books and reading materials
9,Gaming,Video games and consoles
10,Home & Garden,Home improvement and gardening tools
11,Vehicles,"Cars, bikes, and other vehicles"
12,Fashion,Clothing and accessories
