item_id,category_id
1,3
1,7
2,6
2,7
3,7
3,8
4,8
4,2
4,6
5,8
5,3
6,5
7,8
7,6
7,2
8,8
8,1
9,5
9,2
9,3
10,6
10,5
11,3
12,4
13,3
13,6
14,2
15,7
15,3
16,8
16,4
16,1
17,7
18,1
18,7
19,7
19,4
19,1
20,5
20,7
21,7
21,5
22,4
22,8
22,2
23,7
23,4
24,7
25,7
25,6
26,8
27,1
28,1
28,8
29,7
29,2
29,4
30,1
31,7
31,3
32,8
33,6
33,7
34,5
34,7
35,5
35,7
36,8
37,1
38,4
38,6
39,1
40,4
41,1
42,3
42,2
42,7
43,2
43,5
44,8
45,5
45,7
45,3
46,2
47,5
48,1
49,7
49,4
50,4
50,1
50,5
51,4
51,1
51,6
52,2
52,7
53,1
53,3
53,5
54,6
54,1
55,6
55,1
55,4
56,2
56,4
57,8
57,6
58,7
59,5
60,8
60,4
60,7
61,5
61,3
61,2
62,5
63,4
63,7
64,7
64,3
65,8
66,3
66,4
67,6
68,6
68,3
69,5
69,8
69,1
70,4
70,1
70,2
71,7
71,4
71,5
72,8
73,8
73,4
73,1
74,5
75,7
76,4
76,3
76,6
77,6
77,4
77,5
78,6
78,4
78,8
79,6
79,3
79,8
80,5
80,3
81,4
81,1
82,4
82,3
82,1
83,3
83,2
83,7
84,8
84,3
84,6
85,5
85,1
85,2
86,4
86,3
87,5
88,3
89,1
89,8
90,5
90,6
90,2
91,8
91,1
91,7
92,5
92,4
92,7
93,6
93,2
94,5
95,2
95,7
96,7
97,2
97,5
98,1
98,2
98,7
99,5
99,1
99,2
100,7
